iter	Passed	Remaining
340	166124	72587
341	166527	72064
342	166926	71539
343	167238	70979
344	167544	70417
345	167871	69865
346	168283	69350
347	169103	69002
348	169643	68537
349	170081	68032
350	170593	67557
351	170949	67019
352	171249	66462
353	171539	65902
354	171856	65353
355	172146	64796
356	172576	64293
357	172956	63771
358	173279	63230
359	173606	62691
360	173916	62147
361	174233	61607
362	174535	61063
363	174824	60516
364	175141	59980
365	175416	59430
366	175728	58895
367	176047	58363
368	176350	57827
369	176668	57297
370	176965	56762
371	177249	56224
372	177542	55690
373	177831	55156
374	178177	54641
375	178494	54118
376	178783	53587
377	179113	53070
378	179439	52553
379	179749	52032
380	180020	51501
381	180304	50976
382	180574	50447
383	180870	49927
384	181221	49423
385	181517	48906
386	181871	48405
387	182175	47891
388	182498	47383
389	182835	46880
390	183121	46365
391	183444	45861
392	183723	45346
393	184023	44838
394	184303	44326
395	184596	43818
396	184905	43315
397	185367	42848
398	185731	42359
399	186037	41858
400	186361	41361
401	186663	40861
402	186961	40361
403	187237	39857
404	187531	39358
405	187826	38860
406	188118	38363
407	188408	37866
408	188729	37376
409	189003	36878
410	189326	36391
411	189727	35919
412	190094	35441
413	190422	34956
414	190755	34473
415	191456	34057
416	192051	33620
417	192580	33171
418	193249	32746
419	193657	32276
420	194009	31797
421	194344	31316
422	194717	30841
423	195051	30361
424	195429	29889
425	195775	29412
426	196162	28942
427	196630	28483
428	197095	28025
429	197480	27555
430	197903	27091
431	198336	26628
432	198749	26163
433	199109	25691
434	199594	25236
435	199923	24761
436	200433	24308
437	200874	23848
438	201368	23393
439	201857	22938
440	202373	22485
441	202791	22022
442	203192	21557
443	203606	21094
444	203994	20628
445	204325	20157
446	204735	19694
447	205215	19238
448	205678	18781
449	206330	18340
450	206789	17881
451	207242	17423
452	207699	16964
453	208308	16517
454	208752	16057
455	209360	15610
456	209982	15162
457	210401	14700
458	210843	14239
459	211389	13786
460	211843	13326
461	212260	12864
462	212755	12406
463	213186	11945
464	213852	11497
465	214380	11041
466	214854	10581
467	215433	10127
468	215850	9664
469	216215	9200
470	216510	8733
471	216826	8268
472	217176	7805
473	217594	7344
474	217978	6883
475	218377	6422
476	218782	5962
477	219169	5502
478	219623	5043
479	219962	4582
480	220343	4122
481	221030	3668
482	221389	3208
483	221725	2748
484	222529	2294
485	223104	1836
486	223469	1376
487	223950	917
488	224477	459
489	224860	0
