iter	MultiClass
230	0.0128474786
231	0.01283919735
232	0.01281084714
233	0.01279885761
234	0.01273587515
235	0.01265088367
236	0.01259952665
237	0.01253713749
238	0.01250034424
239	0.01247971022
240	0.01245726287
241	0.01239346491
242	0.01237616591
243	0.01234298282
244	0.01232204407
245	0.01230542055
246	0.01230502556
247	0.01229035228
248	0.01202435259
249	0.01200234576
250	0.01197655477
251	0.01196085529
252	0.01194866201
253	0.01192047617
254	0.01188997288
255	0.01184579346
256	0.01183728343
257	0.01183102955
258	0.01183071408
259	0.01182585279
260	0.01174783432
261	0.01166551218
262	0.01165748043
263	0.01156774245
264	0.0113637212
265	0.01135455141
266	0.01135067165
267	0.01132640574
268	0.01131389243
269	0.01131166885
270	0.01129257045
271	0.0112814902
272	0.01122876138
273	0.01122808406
274	0.01122535419
275	0.01120971427
276	0.01118907064
277	0.01117998778
278	0.01117939726
279	0.0111664167
280	0.01116093241
281	0.01115073786
282	0.01091144963
283	0.01089741665
284	0.01081745011
285	0.01081352752
286	0.01077155863
287	0.01076020722
288	0.01073123794
289	0.01072661983
290	0.01052885214
291	0.01046140138
292	0.01045858704
293	0.01044743548
294	0.01043335072
295	0.01041352413
296	0.01039222618
297	0.01037427002
298	0.01031457301
299	0.01027118907
300	0.01026356599
301	0.01024870831
302	0.0102344996
303	0.01021662077
304	0.01019517986
305	0.01019423043
306	0.01015875479
307	0.01013514256
308	0.01012322639
309	0.01011883323
310	0.0100874308
311	0.01002749665
312	0.01002211106
313	0.009929897971
314	0.009924699599
315	0.009921726927
316	0.009908801002
317	0.00990309624
318	0.009894876537
319	0.009886933801
320	0.009879441
321	0.009814183681
322	0.009766606248
323	0.009761979532
324	0.009750699124
325	0.009736869266
326	0.009731304307
327	0.009723447109
328	0.009723056217
329	0.009714376769
330	0.009713678805
331	0.00970326603
332	0.009700651094
333	0.009699977455
334	0.009699450362
335	0.009699387169
336	0.009697146157
337	0.009694636389
338	0.009625585146
339	0.009589597328
340	0.009579548559
341	0.009546189813
342	0.009541240503
343	0.009523438886
344	0.009523387757
345	0.009504447769
346	0.009484488456
347	0.009477382588
348	0.009477108716
349	0.009469575611
350	0.00940722445
351	0.009406782038
352	0.009397599338
353	0.009394664397
354	0.009339989092
355	0.009319742292
356	0.009304589972
357	0.009301731545
358	0.009295543679
359	0.0092918314
360	0.009272616257
361	0.009257524724
362	0.009256158534
363	0.009238971826
364	0.009236315315
365	0.009231528591
366	0.009227566393
367	0.009225294836
368	0.009196598759
369	0.009134477162
370	0.009122360693
371	0.009118683099
372	0.009114375938
373	0.009105834469
374	0.009062289964
375	0.009044779564
376	0.00903881182
377	0.009035178346
378	0.009007049549
379	0.009001426943
380	0.008990508491
381	0.008982524154
382	0.008979206541
383	0.008972991622
384	0.00897102226
385	0.008969183408
386	0.008946433499
387	0.008942800698
388	0.008938202972
389	0.008835435958
390	0.00882761041
391	0.008814222712
392	0.008757957653
393	0.008718303855
394	0.008712502723
395	0.008711436947
396	0.008675490099
397	0.008674889565
398	0.008674347708
399	0.008671454474
400	0.008669501244
401	0.008668084623
402	0.008635503971
403	0.008623966364
404	0.008623435093
405	0.008607746133
406	0.008602537436
407	0.008593015135
408	0.008561312168
409	0.008556780667
410	0.008555258688
411	0.008553137072
412	0.008536969883
413	0.008534014845
414	0.008532806662
415	0.008516356948
416	0.008468860736
417	0.008455116415
418	0.008373835904
419	0.008324976423
420	0.008304587628
421	0.008298760714
422	0.008296603872
423	0.008278687022
424	0.008260231331
425	0.008254393176
426	0.008243984229
427	0.008241144274
428	0.008239246363
429	0.008233523262
430	0.008152241713
431	0.00815107122
432	0.008142649608
433	0.008128323016
434	0.008089163918
435	0.008075642109
436	0.008072193238
437	0.00805336518
438	0.008035242678
439	0.008027377002
440	0.00801697144
441	0.007993091499
442	0.007865143765
443	0.007860772315
444	0.007860332308
445	0.007855854981
446	0.007854131444
447	0.007831231844
448	0.007828278113
449	0.007782207996
450	0.00776173762
451	0.00769268394
452	0.00768865095
453	0.007685124751
454	0.007679743348
455	0.007667737296
456	0.00766606079
457	0.007631889343
458	0.00763094466
459	0.007623287909
460	0.007621143064
461	0.007615704226
462	0.00761457528
463	0.007610570966
464	0.007609664918
465	0.007592896519
466	0.007591971461
467	0.007586114521
468	0.007583413286
469	0.007581128368
470	0.007579382174
471	0.007578653361
472	0.00751821961
473	0.00749065469
474	0.007486372856
475	0.007480896939
476	0.007442905081
477	0.007428241154
478	0.007412747391
479	0.007409228624
480	0.007401867861
481	0.007400400835
482	0.007398704753
483	0.007389656128
484	0.007387640807
485	0.007370042681
486	0.007345249993
487	0.007342563291
488	0.007332671514
489	0.00733235377
