iter	MultiClass
0	0.8591418814
1	0.6397885047
2	0.5062759397
3	0.4220188761
4	0.3593294156
5	0.317193668
6	0.2796367037
7	0.2434510852
8	0.2275835601
9	0.206585412
10	0.1810808404
11	0.1616661527
12	0.1492629083
13	0.1394328478
14	0.1296425469
15	0.1211059571
16	0.113750474
17	0.1010245927
18	0.09286937196
19	0.08926848402
20	0.08485339434
21	0.08105907584
22	0.0774965691
23	0.07367825868
24	0.06995213351
25	0.0665818017
26	0.06448875715
27	0.06265194204
28	0.06065242942
29	0.05840584926
30	0.05701136442
31	0.05567268009
32	0.05389993351
33	0.05212260372
34	0.05044530415
35	0.04842801437
36	0.04778847438
37	0.04658288645
38	0.04638538428
39	0.04586869928
40	0.04455720043
41	0.0441400799
42	0.04336387573
43	0.04287211433
44	0.04139808976
45	0.04017860442
46	0.0388304732
47	0.03769605161
48	0.03661604448
49	0.03546635119
50	0.03422336006
51	0.03419358854
52	0.03407135474
53	0.03326749477
54	0.03259592007
55	0.03223055004
56	0.03150034218
57	0.03094282956
58	0.03039119095
59	0.0298641016
60	0.02971558454
61	0.02965506898
62	0.02954099733
63	0.02935251427
64	0.0290146358
65	0.02870637618
66	0.02847527837
67	0.02798577507
68	0.02737093599
69	0.02727146459
70	0.02724168556
71	0.02673257923
72	0.02605006191
73	0.02601781502
74	0.02596176385
75	0.0258497554
76	0.02545465149
77	0.02518904835
78	0.02494465445
79	0.02482064841
80	0.02472401664
81	0.02452052246
82	0.02435619946
83	0.02419117906
84	0.02409514474
85	0.0239888417
86	0.02391900064
87	0.02376764551
88	0.02329205147
89	0.02280674042
90	0.02268448652
91	0.02262360199
92	0.0225045978
93	0.02242673408
94	0.02232165647
95	0.02227750846
96	0.02209444952
97	0.02189330666
98	0.02182836074
99	0.02175362042
100	0.02173247992
101	0.02167382442
102	0.0210706953
103	0.02082269387
104	0.02069429591
105	0.02062803858
106	0.02053850335
107	0.02040404512
108	0.02012298349
109	0.02004353352
110	0.01994054036
111	0.01992062887
112	0.01959315146
113	0.01941551771
114	0.01936356006
115	0.01930324809
116	0.01929157008
117	0.01892745044
118	0.01871139871
119	0.01859708068
120	0.01854015987
121	0.0183178795
122	0.01826212649
123	0.01820981919
124	0.0181585365
125	0.01813127263
126	0.0180222271
127	0.01795040479
128	0.01791305221
129	0.01791110833
130	0.0177550936
131	0.01764016376
132	0.01761580176
133	0.01758710106
134	0.0175538254
135	0.01744004386
136	0.01742259236
137	0.01740906012
138	0.01692942943
139	0.01689592912
140	0.01688041533
141	0.01664011046
142	0.01662836113
143	0.01652509599
144	0.01649445145
145	0.01644768156
146	0.01644698931
147	0.01643561061
148	0.0163039616
149	0.01629711238
150	0.01626857204
151	0.01620209589
152	0.01617978344
153	0.01617805128
154	0.01613090151
155	0.01605831712
156	0.01603613863
157	0.01602367162
158	0.01601011794
159	0.01598431484
160	0.01597662784
161	0.01594078081
162	0.01591700386
163	0.01589422487
164	0.01589350779
165	0.01587582442
166	0.01582906672
167	0.01579407901
168	0.01572952302
169	0.01566730686
170	0.01565709865
171	0.01559393252
172	0.01520514492
173	0.01500092023
174	0.01496059614
175	0.0149474527
176	0.01493714732
177	0.01492540039
178	0.01491029936
179	0.01488947218
180	0.01484040629
181	0.01483809735
182	0.01477782184
183	0.01475489489
184	0.01471488146
185	0.01471024852
186	0.01468873433
187	0.01459499423
188	0.01458740904
189	0.01458649113
190	0.01454532905
191	0.01454344537
192	0.01451727776
193	0.01450862665
194	0.01434090244
195	0.01433446538
196	0.01401207541
197	0.01384849474
198	0.01379855792
199	0.01379705617
200	0.01373503905
201	0.01370133124
202	0.01368474084
203	0.0136844053
204	0.01356093764
205	0.01354699187
206	0.0135464405
207	0.01353387039
208	0.01348625659
209	0.01348573005
210	0.01340285663
211	0.01340137592
212	0.01331908946
213	0.01328575943
214	0.01321483728
215	0.01317561122
216	0.01313768794
217	0.01312396095
218	0.0131234249
219	0.01309450514
220	0.01307982271
221	0.01304582198
222	0.01300612302
223	0.01294850459
224	0.01294225292
225	0.01293939226
226	0.01291928916
227	0.01287480089
228	0.01286332946
229	0.01284843297
